opt_rank,opt_img,opt_name,opt_minNum,opt_maxNum,opt_age,opt_time,opt_genre,opt_tag1,opt_tag2,opt_tag3
40,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10445870381792-ccfec124-4230-4eaf-83a3-d975ae896b60.jpg,해즈브로 보드게임 모노폴리 클래식 - K부동산 (한글판),2,6,8,90,전략,클래식,부루마블,주사위
41,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/10/24/11/6/cdb4a1bc-e951-4553-9297-f5ab8189c449.jpg,오즈토이 악어 룰렛게임,1,13,3,15,가족,완구,조작,파티
42,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/09/21/3000165013/cb6a914b-6775-40f3-88d9-e2a441298446.jpg,세트,1,?,6,20,전략,순발력,카드,사고력
43,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3e66/c1164b6beda7c60bbb3cb9b66e611726f839e6e97de386f669d7ac590a00.jpg,꼬치의달인,1,4,6,15,가족,순발력,카드,완구
44,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/249433192899862-9886d975-1701-4196-8a98-d45eacb1b713.png,사운드 퀴즈쇼,2,5,9,15,전략,우승제,순발력,조작
45,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2017/12/01/3013990926/dfc094b6-f1e7-4f3a-9228-2af2bbb2b3f0.jpg,젝스님트,2,10,8,20,가족,카드,숫자,사고력
46,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/07/20/19/4/2003dd3a-2add-4a70-82a9-99f7af44bc3a.jpg,시타델,2,8,10,60,전략,카드,역할극,사고력
47,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2017/04/24/15/4/d05ef85c-0d73-423c-82e8-ea73951372fc.jpg,쿼리도,2,4,9,20,전략,클래식,타일,조작
48,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/71e3/53ffdca28646ad5c4ab8740e2cc0b9e73ef8cf207fa979676eb09ea840a1.jpg,어몽어스 메모리게임,1,4,3,30,퍼즐,기억력,타일,어린이
49,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ksjmidpn/ce4ef64793824a528f703baf04473cc5.jpg,타코 캣 고트 치즈 피자,2,8,8,15,가족,순발력,카드,파티
